N,version,mean_ms,std_ms
1000,scalar,0.009996966666666666,0.0003064867081927868
1000,vector,0.0014906333333333333,2.8365208574436114e-05
100000,scalar,0.9684331333333334,0.04237087812908632
100000,vector,0.11718916666666666,0.014631313922857218
1000000,scalar,10.029484666666667,0.6105397840765415
1000000,vector,1.6728874,0.42553096960868825
50000000,scalar,247.62575586666668,7.3484756868121055
50000000,vector,67.05987303333333,2.9535421501127157
