N,version,run,kernel_ms
50000000,scalar,20,244.957008
50000000,scalar,21,245.859608
50000000,scalar,22,244.834963
50000000,scalar,23,244.590713
50000000,scalar,24,244.333831
50000000,scalar,25,244.338419
50000000,scalar,26,244.906505
50000000,scalar,27,248.951151
50000000,scalar,28,249.205846
50000000,scalar,29,245.724828
50000000,scalar,30,243.695974
50000000,vector,1,66.233110
50000000,vector,2,81.582939
50000000,vector,3,66.544900
50000000,vector,4,66.666876
50000000,vector,5,69.244758
50000000,vector,6,66.735337
50000000,vector,7,71.477916
50000000,vector,8,65.995533
50000000,vector,9,66.098632
50000000,vector,10,66.106928
50000000,vector,11,66.107259
50000000,vector,12,66.116770
50000000,vector,13,66.028358
50000000,vector,14,66.244134
50000000,vector,15,66.572856
50000000,vector,16,66.284642
50000000,vector,17,66.459258
50000000,vector,18,66.414954
50000000,vector,19,66.011148
50000000,vector,20,66.397391
50000000,vector,21,66.044293
50000000,vector,22,66.640711
50000000,vector,23,66.128187
50000000,vector,24,66.404628
50000000,vector,25,66.078913
50000000,vector,26,66.361297
50000000,vector,27,66.178226
50000000,vector,28,66.090207
50000000,vector,29,66.236159
50000000,vector,30,66.309871
